ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,0.923371171,0.943316,0.957551495,0.984958027,1.025006032,1.037848128,1.052409507,1.072891796,1.130917033,1.139558926,1.125862912,1.163050102,1.196041329,1.208646692,1.210068764,1.232737055,1.237526582,1.267138207,1.296175782,1.3101724,1.278604949,1.302940607,1.318766618,1.287024359,1.311720986,1.366313786,1.360014589,1.356636643,1.370605588,1.423211813,1.411908627,1.36395359,1.317722025,
AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,,,,,,,,,,,10.19986973,8.800717522,9.19688826,10.06999412,10.91160407,11.73443485,12.20296544,14.55761629,14.58183631,14.17891937,14.54305294,16.61347791,16.93029509,16.88154584,16.12780381,15.82358245,15.92365597,15.42020702,14.85623498,15.02643439,15.33524309,14.58794212,14.91028205,
AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1.06E-08,2.11E-08,1.19E-07,1.18E-06,2.64E-05,0.000497958,0.023963847,0.046044058,0.063453566,0.411386383,2.083856182,4.205389199,10.04111366,19.09538403,24.81428892,34.25510433,38.91792792,39.52387649,46.28618058,38.29145177,50.04015159,64.60575104,66.01718562,66.69557274,66.00187576,69.58590353,82.86332664,95.83724213,111.4418106,124.4396057,146.9091339,174.0905151,184.9366237,209.9221375
ALB,2.338171011,3.064905515,9.978274825,21.99471226,29.25354042,31.47189968,35.41867932,38.73170487,40.71863013,41.10151152,42.01980017,42.81103626,42.10926633,44.59090275,44.89796419,45.52787809,44.41279329,44.62550024,44.5623264,44.34020673,44.20565841,43.86025303,43.65747407,44.11600854,42.89701678,42.70885002,42.38746154,42.25956222,42.30566329,40.55187796,40.21207688,40.59623655,39.49290564,39.36256107
AND,0.481169192,0.497707462,0.519273962,0.53026561,0.539323537,0.55430693,0.54868069,0.55139761,0.553446124,0.560632656,0.705779895,0.711500899,0.723309998,0.731844153,0.734362309,0.736218215,0.738884638,0.742495774,0.745028111,0.741439507,0.735279068,0.721833616,0.709874591,0.701125997,0.68854509,0.686720483,0.682621757,0.678233981,0.65632801,0.641227887,0.62787878,0.604573548,0.588730553,0.60131182
ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,1.127699862,1.099655527,1.094580495,1.082901351,1.057479717,1.076235223,1.117900626,1.088484502,1.030593043,1.102015306,1.20109402,1.147048647,1.172087829,1.196203198,1.263909838,1.428012766,1.551003373,1.699365326,1.976238327,1.665911439,1.917942884,2.126608372,2.187969973,2.234190586,2.213516735,2.229246931,2.241748844,2.285250425,2.235158682,2.113722801,2.088984489,2.362567186,2.499422418,2.318845469
ARG,0.29393947,0.683806376,0.776023253,0.73105983,0.736171487,0.743875471,0.730119101,0.714412314,0.69442518,0.672159934,0.664089245,0.642348669,0.825786931,0.894793044,1.031372549,1.103194369,1.217246977,1.362197316,1.646118381,1.887610278,2.25500158,2.733127832,3.220031636,3.945567609,5.461513786,6.882589712,9.322117326,10.29278564,13.52681351,20.3836689,26.88718414,38.78333282,61.40318097,138.5355044
